Home,Away,League,Season,Date,Gols_H,Gols_A,FTR,Placar
Club Brugge,Mechelen,Jupiler League,2024/2025,2024-07-26,1.0,1.0,D,1.0 x 1.0
Beerschot VA,Oud-Heverlee Leuven,Jupiler League,2024/2025,2024-07-27,0.0,0.0,D,0.0 x 0.0
Dender,St. Gilloise,Jupiler League,2024/2025,2024-07-27,0.0,0.0,D,0.0 x 0.0
Anderlecht,St Truiden,Jupiler League,2024/2025,2024-07-27,1.0,0.0,H,1.0 x 0.0
Charleroi,Antwerp,Jupiler League,2024/2025,2024-07-28,0.0,1.0,A,0.0 x 1.0
Genk,Standard,Jupiler League,2024/2025,2024-07-28,0.0,0.0,D,0.0 x 0.0
Kortrijk,Gent,Jupiler League,2024/2025,2024-07-28,0.0,1.0,A,0.0 x 1.0
Westerlo,Cercle Brugge,Jupiler League,2024/2025,2024-07-28,3.0,0.0,H,3.0 x 0.0
FC Koln,Hamburg,Bundesliga 2,2024/2025,2024-08-02,1.0,2.0,A,1.0 x 2.0
Falkirk,Queens Park,Championship,2024/2025,2024-08-02,2.0,1.0,H,2.0 x 1.0
St. Gilloise,Beerschot VA,Jupiler League,2024/2025,2024-08-02,3.0,1.0,H,3.0 x 1.0
Hertha,Paderborn,Bundesliga 2,2024/2025,2024-08-03,1.0,2.0,A,1.0 x 2.0
Stenhousemuir,Arbroath,League One,2024/2025,2024-08-03,2.0,1.0,H,2.0 x 1.0
Motherwell,Ross County,Premiership,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Bonnyrigg Rose,Peterhead,League Two,2024/2025,2024-08-03,0.0,1.0,A,0.0 x 1.0
Edinburgh City,Stirling,League Two,2024/2025,2024-08-03,1.0,2.0,A,1.0 x 2.0
Elgin,East Fife,League Two,2024/2025,2024-08-03,4.0,2.0,H,4.0 x 2.0
Forfar,Clyde,League Two,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Stranraer,Spartans,League Two,2024/2025,2024-08-03,2.0,2.0,D,2.0 x 2.0
Hannover,Regensburg,Bundesliga 2,2024/2025,2024-08-03,2.0,0.0,H,2.0 x 0.0
Alloa,Queen of Sth,League One,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Karlsruhe,Nurnberg,Bundesliga 2,2024/2025,2024-08-03,3.0,2.0,H,3.0 x 2.0
Magdeburg,Elversberg,Bundesliga 2,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Schalke 04,Braunschweig,Bundesliga 2,2024/2025,2024-08-03,5.0,1.0,H,5.0 x 1.0
Hearts,Rangers,Premiership,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Montrose,Kelty Hearts,League One,2024/2025,2024-08-03,1.0,1.0,D,1.0 x 1.0
Inverness C,Dumbarton,League One,2024/2025,2024-08-03,1.0,1.0,D,1.0 x 1.0
Mechelen,Westerlo,Jupiler League,2024/2025,2024-08-03,2.0,4.0,A,2.0 x 4.0
Partick,Morton,Championship,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Livingston,Dunfermline,Championship,2024/2025,2024-08-03,2.0,0.0,H,2.0 x 0.0
Hamilton,Ayr,Championship,2024/2025,2024-08-03,0.0,2.0,A,0.0 x 2.0
Airdrie Utd,Raith Rvs,Championship,2024/2025,2024-08-03,1.0,0.0,H,1.0 x 0.0
St Truiden,Charleroi,Jupiler League,2024/2025,2024-08-03,1.0,4.0,A,1.0 x 4.0
Cove Rangers,Annan Athletic,League One,2024/2025,2024-08-03,1.0,3.0,A,1.0 x 3.0
Oud-Heverlee Leuven,Genk,Jupiler League,2024/2025,2024-08-03,3.0,1.0,H,3.0 x 1.0
Antwerp,Anderlecht,Jupiler League,2024/2025,2024-08-04,1.0,2.0,A,1.0 x 2.0
Darmstadt,Fortuna Dusseldorf,Bundesliga 2,2024/2025,2024-08-04,0.0,2.0,A,0.0 x 2.0
Celtic,Kilmarnock,Premiership,2024/2025,2024-08-04,4.0,0.0,H,4.0 x 0.0
St Mirren,Hibernian,Premiership,2024/2025,2024-08-04,3.0,0.0,H,3.0 x 0.0
Dundee United,Dundee,Premiership,2024/2025,2024-08-04,2.0,2.0,D,2.0 x 2.0
Greuther Furth,Preußen Münster,Bundesliga 2,2024/2025,2024-08-04,3.0,1.0,H,3.0 x 1.0
Gent,Dender,Jupiler League,2024/2025,2024-08-04,1.0,2.0,A,1.0 x 2.0
